Datensatz: ;RM2-TR_619_20161202-102205_Notiz
Gruppennummer: ;619
Hardware-Zähler: ;355680
Summenzaehler ADC-Kanäle: ;147703
   
ADC-Kanal;Inhalt
0000;00000
0001;00000
0002;00000
0003;00000
0004;00001
0005;00000
0006;00000
0007;00000
0008;00000
0009;00000
0010;00000
0011;00000
0012;00000
0013;00001
0014;00001
0015;00001
0016;00000
0017;00000
0018;00000
0019;00000
0020;00942
0021;00898
0022;00794
0023;00704
0024;00626
0025;00597
0026;00521
0027;00503
0028;00448
0029;00433
0030;00383
0031;00357
0032;00301
0033;00282
0034;00280
0035;00250
0036;00257
0037;00209
0038;00217
0039;00174
0040;00183
0041;00181
0042;00153
0043;00169
0044;00155
0045;00157
0046;00144
0047;00143
0048;00125
0049;00133
0050;00138
0051;00127
0052;00133
0053;00139
0054;00120
0055;00122
0056;00104
0057;00118
0058;00109
0059;00116
0060;00121
0061;00114
0062;00125
0063;00114
0064;00124
0065;00101
0066;00117
0067;00130
0068;00112
0069;00119
0070;00126
0071;00106
0072;00128
0073;00110
0074;00096
0075;00127
0076;00129
0077;00097
0078;00102
0079;00097
0080;00116
0081;00109
0082;00099
0083;00121
0084;00112
0085;00113
0086;00112
0087;00143
0088;00119
0089;00116
0090;00134
0091;00156
0092;00174
0093;00204
0094;00217
0095;00253
0096;00239
0097;00255
0098;00246
0099;00272
0100;00282
0101;00254
0102;00269
0103;00253
0104;00236
0105;00285
0106;00246
0107;00275
0108;00232
0109;00240
0110;00241
0111;00267
0112;00277
0113;00255
0114;00295
0115;00265
0116;00232
0117;00261
0118;00255
0119;00261
0120;00263
0121;00276
0122;00244
0123;00266
0124;00257
0125;00266
0126;00272
0127;00263
0128;00244
0129;00242
0130;00250
0131;00267
0132;00245
0133;00257
0134;00253
0135;00279
0136;00265
0137;00264
0138;00243
0139;00254
0140;00224
0141;00235
0142;00226
0143;00245
0144;00250
0145;00244
0146;00261
0147;00227
0148;00231
0149;00267
0150;00245
0151;00225
0152;00236
0153;00241
0154;00246
0155;00210
0156;00249
0157;00242
0158;00212
0159;00246
0160;00254
0161;00226
0162;00228
0163;00217
0164;00238
0165;00240
0166;00215
0167;00205
0168;00251
0169;00225
0170;00225
0171;00227
0172;00235
0173;00201
0174;00229
0175;00233
0176;00206
0177;00215
0178;00208
0179;00209
0180;00196
0181;00218
0182;00231
0183;00235
0184;00195
0185;00206
0186;00203
0187;00192
0188;00208
0189;00206
0190;00216
0191;00211
0192;00177
0193;00211
0194;00184
0195;00207
0196;00224
0197;00205
0198;00182
0199;00201
0200;00210
0201;00220
0202;00191
0203;00228
0204;00178
0205;00176
0206;00177
0207;00236
0208;00186
0209;00217
0210;00190
0211;00220
0212;00196
0213;00195
0214;00190
0215;00208
0216;00204
0217;00221
0218;00182
0219;00191
0220;00158
0221;00192
0222;00200
0223;00201
0224;00177
0225;00203
0226;00196
0227;00209
0228;00173
0229;00195
0230;00193
0231;00204
0232;00169
0233;00202
0234;00185
0235;00192
0236;00189
0237;00155
0238;00180
0239;00181
0240;00173
0241;00166
0242;00192
0243;00174
0244;00182
0245;00168
0246;00162
0247;00191
0248;00175
0249;00168
0250;00190
0251;00220
0252;00175
0253;00171
0254;00177
0255;00178
0256;00182
0257;00189
0258;00175
0259;00179
0260;00189
0261;00173
0262;00159
0263;00171
0264;00173
0265;00179
0266;00195
0267;00185
0268;00192
0269;00180
0270;00153
0271;00173
0272;00169
0273;00178
0274;00181
0275;00181
0276;00170
0277;00174
0278;00159
0279;00186
0280;00193
0281;00171
0282;00187
0283;00208
0284;00194
0285;00170
0286;00205
0287;00195
0288;00175
0289;00171
0290;00173
0291;00154
0292;00167
0293;00183
0294;00202
0295;00197
0296;00179
0297;00187
0298;00196
0299;00185
0300;00226
0301;00194
0302;00228
0303;00220
0304;00233
0305;00201
0306;00209
0307;00228
0308;00237
0309;00273
0310;00243
0311;00236
0312;00242
0313;00214
0314;00215
0315;00230
0316;00216
0317;00222
0318;00239
0319;00236
0320;00247
0321;00216
0322;00218
0323;00243
0324;00252
0325;00229
0326;00202
0327;00235
0328;00212
0329;00251
0330;00244
0331;00236
0332;00257
0333;00246
0334;00240
0335;00212
0336;00238
0337;00287
0338;00247
0339;00271
0340;00264
0341;00285
0342;00253
0343;00248
0344;00235
0345;00233
0346;00283
0347;00279
0348;00259
0349;00254
0350;00258
0351;00282
0352;00267
0353;00282
0354;00259
0355;00300
0356;00289
0357;00291
0358;00275
0359;00311
0360;00316
0361;00288
0362;00269
0363;00325
0364;00340
0365;00364
0366;00374
0367;00369
0368;00361
0369;00405
0370;00379
0371;00446
0372;00476
0373;00451
0374;00481
0375;00467
0376;00551
0377;00588
0378;00642
0379;00660
0380;00705
0381;00724
0382;00786
0383;00798
0384;00831
0385;00816
0386;00849
0387;00900
0388;00975
0389;00927
0390;01028
0391;01060
0392;01129
0393;01186
0394;01191
0395;01336
0396;01355
0397;01450
0398;01524
0399;01683
0400;01713
0401;01851
0402;01888
0403;02093
0404;02213
0405;02415
0406;02547
0407;02751
0408;02601
0409;02674
0410;02437
0411;02305
0412;01911
0413;01580
0414;01170
0415;00820
0416;00631
0417;00421
0418;00296
0419;00214
0420;00178
0421;00161
0422;00136
0423;00107
0424;00117
0425;00107
0426;00095
0427;00084
0428;00102
0429;00085
0430;00076
0431;00081
0432;00079
0433;00075
0434;00068
0435;00072
0436;00071
0437;00064
0438;00056
0439;00057
0440;00062
0441;00065
0442;00044
0443;00050
0444;00052
0445;00056
0446;00054
0447;00060
0448;00054
0449;00063
0450;00045
0451;00049
0452;00048
0453;00048
0454;00058
0455;00054
0456;00040
0457;00057
0458;00033
0459;00045
0460;00045
0461;00054
0462;00036
0463;00050
0464;00034
0465;00041
0466;00049
0467;00037
0468;00046
0469;00048
0470;00045
0471;00035
0472;00034
0473;00033
0474;00033
0475;00033
0476;00036
0477;00044
0478;00033
0479;00047
0480;00039
0481;00033
0482;00046
0483;00033
0484;00032
0485;00040
0486;00040
0487;00038
0488;00025
0489;00041
0490;00030
0491;00037
0492;00036
0493;00028
0494;00044
0495;00035
0496;00025
0497;00034
0498;00034
0499;00020
0500;00031
0501;00031
0502;00019
0503;00032
0504;00031
0505;00027
0506;00020
0507;00037
0508;00041
0509;00031
0510;00033
0511;00027
0512;00024
0513;00040
0514;00036
0515;00039
0516;00044
0517;00024
0518;00028
0519;00024
0520;00026
0521;00035
0522;00033
0523;00028
0524;00032
0525;00036
0526;00026
0527;00027
0528;00031
0529;00042
0530;00038
0531;00027
0532;00042
0533;00022
0534;00041
0535;00030
0536;00042
0537;00036
0538;00033
0539;00039
0540;00032
0541;00034
0542;00048
0543;00032
0544;00025
0545;00038
0546;00027
0547;00028
0548;00027
0549;00025
0550;00029
0551;00038
0552;00034
0553;00026
0554;00026
0555;00027
0556;00029
0557;00033
0558;00027
0559;00020
0560;00030
0561;00024
0562;00029
0563;00013
0564;00023
0565;00020
0566;00021
0567;00027
0568;00026
0569;00031
0570;00018
0571;00022
0572;00025
0573;00019
0574;00021
0575;00011
0576;00020
0577;00022
0578;00012
0579;00016
0580;00014
0581;00014
0582;00016
0583;00018
0584;00018
0585;00007
0586;00014
0587;00013
0588;00008
0589;00010
0590;00008
0591;00004
0592;00006
0593;00012
0594;00010
0595;00011
0596;00008
0597;00010
0598;00004
0599;00007
0600;00007
0601;00004
0602;00007
0603;00012
0604;00012
0605;00006
0606;00005
0607;00008
0608;00009
0609;00011
0610;00007
0611;00005
0612;00008
0613;00004
0614;00011
0615;00007
0616;00006
0617;00006
0618;00005
0619;00009
0620;00011
0621;00004
0622;00012
0623;00010
0624;00011
0625;00007
0626;00007
0627;00004
0628;00010
0629;00003
0630;00006
0631;00007
0632;00006
0633;00006
0634;00007
0635;00005
0636;00005
0637;00006
0638;00008
0639;00005
0640;00010
0641;00012
0642;00005
0643;00009
0644;00004
0645;00004
0646;00005
0647;00005
0648;00005
0649;00005
0650;00009
0651;00006
0652;00009
0653;00009
0654;00007
0655;00005
0656;00003
0657;00005
0658;00007
0659;00008
0660;00012
0661;00001
0662;00004
0663;00010
0664;00006
0665;00010
0666;00005
0667;00009
0668;00004
0669;00004
0670;00005
0671;00004
0672;00004
0673;00009
0674;00008
0675;00011
0676;00004
0677;00005
0678;00005
0679;00005
0680;00004
0681;00001
0682;00004
0683;00008
0684;00011
0685;00004
0686;00002
0687;00007
0688;00006
0689;00004
0690;00003
0691;00007
0692;00006
0693;00005
0694;00007
0695;00009
0696;00003
0697;00004
0698;00007
0699;00007
0700;00004
0701;00001
0702;00004
0703;00005
0704;00009
0705;00007
0706;00003
0707;00008
0708;00004
0709;00008
0710;00006
0711;00006
0712;00001
0713;00004
0714;00004
0715;00004
0716;00002
0717;00003
0718;00007
0719;00009
0720;00008
0721;00003
0722;00004
0723;00001
0724;00002
0725;00004
0726;00001
0727;00009
0728;00005
0729;00009
0730;00005
0731;00001
0732;00006
0733;00001
0734;00003
0735;00004
0736;00004
0737;00005
0738;00006
0739;00008
0740;00003
0741;00007
0742;00003
0743;00012
0744;00006
0745;00002
0746;00007
0747;00011
0748;00011
0749;00007
0750;00003
0751;00004
0752;00005
0753;00002
0754;00004
0755;00008
0756;00004
0757;00004
0758;00003
0759;00002
0760;00005
0761;00002
0762;00003
0763;00001
0764;00016
0765;00006
0766;00005
0767;00004
0768;00006
0769;00004
0770;00003
0771;00003
0772;00002
0773;00006
0774;00006
0775;00004
0776;00003
0777;00003
0778;00004
0779;00005
0780;00006
0781;00004
0782;00008
0783;00006
0784;00007
0785;00004
0786;00005
0787;00002
0788;00003
0789;00004
0790;00002
0791;00007
0792;00005
0793;00004
0794;00006
0795;00004
0796;00004
0797;00002
0798;00008
0799;00001
0800;00007
0801;00008
0802;00009
0803;00000
0804;00001
0805;00004
0806;00008
0807;00006
0808;00006
0809;00004
0810;00006
0811;00003
0812;00000
0813;00004
0814;00005
0815;00004
0816;00012
0817;00003
0818;00004
0819;00001
0820;00004
0821;00004
0822;00008
0823;00004
0824;00000
0825;00004
0826;00004
0827;00003
0828;00006
0829;00004
0830;00005
0831;00004
0832;00003
0833;00006
0834;00008
0835;00003
0836;00002
0837;00002
0838;00003
0839;00002
0840;00003
0841;00003
0842;00004
0843;00005
0844;00005
0845;00001
0846;00006
0847;00003
0848;00003
0849;00002
0850;00003
0851;00002
0852;00002
0853;00007
0854;00004
0855;00002
0856;00006
0857;00004
0858;00000
0859;00004
0860;00001
0861;00008
0862;00004
0863;00007
