Datensatz: ;RM2-TR_654_20161202-104141_Notiz
Gruppennummer: ;654
Hardware-Zähler: ;51801
Summenzaehler ADC-Kanäle: ;68198
   
ADC-Kanal;Inhalt
0000;00000
0001;00000
0002;00000
0003;00000
0004;00000
0005;00000
0006;00000
0007;00000
0008;00000
0009;00000
0010;00000
0011;00000
0012;00000
0013;00000
0014;00000
0015;00000
0016;00000
0017;00000
0018;00000
0019;00000
0020;00000
0021;00000
0022;00000
0023;00834
0024;00661
0025;00615
0026;00489
0027;00400
0028;00364
0029;00303
0030;00279
0031;00222
0032;00203
0033;00179
0034;00160
0035;00152
0036;00162
0037;00152
0038;00215
0039;00208
0040;00226
0041;00147
0042;00108
0043;00092
0044;00078
0045;00075
0046;00086
0047;00072
0048;00064
0049;00061
0050;00065
0051;00068
0052;00064
0053;00063
0054;00060
0055;00059
0056;00061
0057;00062
0058;00047
0059;00056
0060;00053
0061;00049
0062;00047
0063;00036
0064;00055
0065;00063
0066;00051
0067;00045
0068;00045
0069;00051
0070;00043
0071;00050
0072;00052
0073;00049
0074;00048
0075;00041
0076;00048
0077;00052
0078;00035
0079;00039
0080;00026
0081;00043
0082;00047
0083;00043
0084;00038
0085;00043
0086;00041
0087;00044
0088;00040
0089;00029
0090;00032
0091;00028
0092;00033
0093;00046
0094;00030
0095;00023
0096;00040
0097;00031
0098;00036
0099;00031
0100;00029
0101;00025
0102;00024
0103;00021
0104;00029
0105;00028
0106;00016
0107;00029
0108;00026
0109;00024
0110;00024
0111;00029
0112;00035
0113;00028
0114;00016
0115;00032
0116;00019
0117;00032
0118;00021
0119;00026
0120;00028
0121;00026
0122;00040
0123;00044
0124;00023
0125;00030
0126;00034
0127;00032
0128;00027
0129;00026
0130;00033
0131;00030
0132;00026
0133;00031
0134;00027
0135;00032
0136;00036
0137;00037
0138;00027
0139;00045
0140;00035
0141;00034
0142;00026
0143;00038
0144;00038
0145;00032
0146;00040
0147;00047
0148;00044
0149;00028
0150;00026
0151;00031
0152;00046
0153;00038
0154;00041
0155;00029
0156;00043
0157;00037
0158;00044
0159;00049
0160;00026
0161;00056
0162;00039
0163;00046
0164;00048
0165;00029
0166;00041
0167;00025
0168;00029
0169;00036
0170;00037
0171;00041
0172;00039
0173;00033
0174;00043
0175;00037
0176;00039
0177;00036
0178;00036
0179;00037
0180;00031
0181;00036
0182;00045
0183;00034
0184;00031
0185;00029
0186;00038
0187;00032
0188;00045
0189;00027
0190;00041
0191;00048
0192;00043
0193;00040
0194;00039
0195;00041
0196;00041
0197;00041
0198;00030
0199;00034
0200;00034
0201;00049
0202;00037
0203;00041
0204;00028
0205;00033
0206;00039
0207;00045
0208;00044
0209;00028
0210;00037
0211;00028
0212;00035
0213;00043
0214;00038
0215;00035
0216;00036
0217;00040
0218;00038
0219;00037
0220;00036
0221;00034
0222;00033
0223;00038
0224;00036
0225;00027
0226;00034
0227;00033
0228;00042
0229;00041
0230;00046
0231;00042
0232;00049
0233;00035
0234;00046
0235;00037
0236;00042
0237;00048
0238;00032
0239;00037
0240;00035
0241;00040
0242;00040
0243;00031
0244;00043
0245;00044
0246;00038
0247;00046
0248;00045
0249;00033
0250;00052
0251;00049
0252;00053
0253;00057
0254;00049
0255;00064
0256;00040
0257;00049
0258;00064
0259;00052
0260;00042
0261;00068
0262;00052
0263;00052
0264;00064
0265;00057
0266;00043
0267;00051
0268;00057
0269;00062
0270;00049
0271;00057
0272;00047
0273;00066
0274;00055
0275;00072
0276;00060
0277;00053
0278;00056
0279;00070
0280;00075
0281;00059
0282;00063
0283;00070
0284;00064
0285;00046
0286;00058
0287;00068
0288;00076
0289;00077
0290;00060
0291;00069
0292;00067
0293;00073
0294;00077
0295;00056
0296;00072
0297;00069
0298;00066
0299;00066
0300;00072
0301;00067
0302;00064
0303;00067
0304;00059
0305;00074
0306;00081
0307;00075
0308;00063
0309;00076
0310;00062
0311;00082
0312;00086
0313;00067
0314;00085
0315;00083
0316;00073
0317;00084
0318;00082
0319;00104
0320;00101
0321;00088
0322;00081
0323;00083
0324;00091
0325;00099
0326;00074
0327;00096
0328;00098
0329;00093
0330;00107
0331;00129
0332;00085
0333;00113
0334;00103
0335;00114
0336;00091
0337;00096
0338;00098
0339;00136
0340;00101
0341;00146
0342;00117
0343;00125
0344;00145
0345;00125
0346;00126
0347;00128
0348;00129
0349;00135
0350;00179
0351;00146
0352;00144
0353;00161
0354;00137
0355;00141
0356;00144
0357;00168
0358;00144
0359;00177
0360;00161
0361;00171
0362;00156
0363;00156
0364;00172
0365;00181
0366;00173
0367;00162
0368;00177
0369;00179
0370;00178
0371;00185
0372;00185
0373;00161
0374;00174
0375;00192
0376;00166
0377;00194
0378;00195
0379;00202
0380;00188
0381;00217
0382;00194
0383;00234
0384;00210
0385;00238
0386;00231
0387;00206
0388;00244
0389;00232
0390;00233
0391;00246
0392;00245
0393;00223
0394;00257
0395;00261
0396;00265
0397;00244
0398;00258
0399;00264
0400;00280
0401;00271
0402;00272
0403;00299
0404;00290
0405;00311
0406;00325
0407;00297
0408;00308
0409;00341
0410;00346
0411;00365
0412;00328
0413;00371
0414;00365
0415;00415
0416;00393
0417;00378
0418;00409
0419;00436
0420;00433
0421;00429
0422;00504
0423;00425
0424;00427
0425;00433
0426;00445
0427;00488
0428;00498
0429;00482
0430;00452
0431;00464
0432;00477
0433;00490
0434;00474
0435;00485
0436;00483
0437;00506
0438;00491
0439;00465
0440;00456
0441;00476
0442;00471
0443;00436
0444;00471
0445;00411
0446;00441
0447;00451
0448;00413
0449;00434
0450;00404
0451;00404
0452;00433
0453;00398
0454;00371
0455;00390
0456;00363
0457;00390
0458;00332
0459;00355
0460;00293
0461;00342
0462;00305
0463;00299
0464;00289
0465;00277
0466;00235
0467;00215
0468;00215
0469;00181
0470;00164
0471;00162
0472;00125
0473;00133
0474;00125
0475;00128
0476;00122
0477;00130
0478;00113
0479;00109
0480;00097
0481;00104
0482;00098
0483;00095
0484;00092
0485;00104
0486;00086
0487;00082
0488;00095
0489;00074
0490;00080
0491;00083
0492;00070
0493;00092
0494;00073
0495;00077
0496;00084
0497;00088
0498;00078
0499;00080
0500;00085
0501;00068
0502;00080
0503;00071
0504;00080
0505;00058
0506;00067
0507;00073
0508;00075
0509;00105
0510;00074
0511;00082
0512;00071
0513;00076
0514;00070
0515;00073
0516;00051
0517;00073
0518;00071
0519;00063
0520;00099
0521;00095
0522;00061
0523;00062
0524;00086
0525;00065
0526;00055
0527;00069
0528;00070
0529;00074
0530;00075
0531;00059
0532;00064
0533;00075
0534;00072
0535;00056
0536;00058
0537;00062
0538;00073
0539;00055
0540;00066
0541;00054
0542;00058
0543;00068
0544;00065
0545;00067
0546;00063
0547;00041
0548;00060
0549;00055
0550;00044
0551;00049
0552;00057
0553;00055
0554;00048
0555;00041
0556;00042
0557;00038
0558;00045
0559;00051
0560;00046
0561;00034
0562;00032
0563;00038
0564;00034
0565;00031
0566;00024
0567;00038
0568;00028
0569;00032
0570;00029
0571;00040
0572;00036
0573;00035
0574;00033
0575;00028
0576;00019
0577;00027
0578;00025
0579;00024
0580;00023
0581;00023
0582;00025
0583;00025
0584;00020
0585;00020
0586;00020
0587;00022
0588;00034
0589;00022
0590;00018
0591;00020
0592;00022
0593;00029
0594;00020
0595;00013
0596;00019
0597;00014
0598;00017
0599;00015
0600;00019
0601;00017
0602;00023
0603;00011
0604;00011
0605;00016
0606;00013
0607;00022
0608;00017
0609;00013
0610;00015
0611;00014
0612;00008
0613;00021
0614;00014
0615;00012
0616;00008
0617;00011
0618;00007
0619;00009
0620;00012
0621;00010
0622;00012
0623;00011
0624;00006
0625;00009
0626;00004
0627;00011
0628;00006
0629;00010
0630;00011
0631;00008
0632;00007
0633;00006
0634;00010
0635;00010
0636;00008
0637;00003
0638;00009
0639;00004
0640;00010
0641;00007
0642;00006
0643;00007
0644;00010
0645;00005
0646;00009
0647;00008
0648;00004
0649;00009
0650;00008
0651;00007
0652;00008
0653;00006
0654;00005
0655;00004
0656;00004
0657;00004
0658;00010
0659;00004
0660;00007
0661;00012
0662;00007
0663;00002
0664;00000
0665;00008
0666;00003
0667;00004
0668;00009
0669;00006
0670;00002
0671;00003
0672;00005
0673;00003
0674;00007
0675;00003
0676;00001
0677;00002
0678;00006
0679;00007
0680;00006
0681;00006
0682;00006
0683;00006
0684;00008
0685;00007
0686;00008
0687;00008
0688;00003
0689;00008
0690;00005
0691;00004
0692;00006
0693;00002
0694;00005
0695;00004
0696;00006
0697;00005
0698;00003
0699;00003
0700;00007
0701;00005
0702;00002
0703;00003
0704;00002
0705;00004
0706;00005
0707;00001
0708;00005
0709;00004
0710;00005
0711;00004
0712;00005
0713;00004
0714;00003
0715;00002
0716;00002
0717;00006
0718;00006
0719;00005
0720;00003
0721;00002
0722;00004
0723;00002
0724;00007
0725;00005
0726;00000
0727;00002
0728;00004
0729;00004
0730;00010
0731;00003
0732;00002
0733;00002
0734;00004
0735;00001
0736;00005
0737;00000
0738;00002
0739;00004
0740;00002
0741;00001
0742;00005
0743;00003
0744;00002
0745;00006
0746;00004
0747;00001
0748;00006
0749;00004
0750;00003
0751;00003
0752;00003
0753;00004
0754;00001
0755;00003
0756;00003
0757;00002
0758;00002
0759;00001
0760;00004
0761;00004
0762;00002
0763;00005
0764;00001
0765;00002
0766;00000
0767;00004
0768;00001
0769;00001
0770;00001
0771;00003
0772;00002
0773;00002
0774;00001
0775;00002
0776;00001
0777;00002
0778;00002
0779;00000
0780;00003
0781;00003
0782;00002
0783;00001
0784;00003
0785;00003
0786;00003
0787;00002
0788;00004
0789;00004
0790;00003
0791;00002
0792;00003
0793;00001
0794;00000
0795;00002
0796;00003
0797;00002
0798;00002
0799;00001
0800;00001
